"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что при клике на вопрос отображается соответствующий ответ","1833","Проверка открытия ответа при клике на вопрос 1","tests","2025-10-30","passed","2025-10-30","TestMainPage","test_main_page","",""
"Проверяем, что клик по логотипу Яндекс открывает Дзен в новой вкладке","2700","Проверка перехода на Дзен через логотип Яндекс","tests","2025-10-30","passed","2025-10-30","TestMainPage","test_main_page","",""
"Проверяем, что верхняя кнопка ""Заказать"" ведет на страницу заказа","1560","Проверка кнопки заказа вверху страницы","tests","2025-10-30","passed","2025-10-30","TestMainPage","test_main_page","",""
"Проверяем, что нижняя кнопка ""Заказать"" ведет на страницу заказа","1326","Проверка кнопки заказа внизу страницы","tests","2025-10-30","passed","2025-10-30","TestMainPage","test_main_page","",""
"Проверяем, что клик по логотипу Самоката возвращает на главную страницу","1040","Проверка перехода на главную через логотип Самоката","tests","2025-10-30","passed","2025-10-30","TestMainPage","test_main_page","",""
"Проверяем, что при клике на вопрос отображается соответствующий ответ","1585","Проверка открытия ответа при клике на вопрос 2","tests","2025-10-30","passed","2025-10-30","TestMainPage","test_main_page","",""
"","3844","Позитивный сценарий заказа с точкой входа: top","tests","2025-10-30","passed","2025-10-30","TestOrderFlow","test_order_flow","",""
"Проверяем, что при клике на вопрос отображается соответствующий ответ","1557","Проверка открытия ответа при клике на вопрос 8","tests","2025-10-30","passed","2025-10-30","TestMainPage","test_main_page","",""
"Проверяем, что при клике на вопрос отображается соответствующий ответ","1579","Проверка открытия ответа при клике на вопрос 7","tests","2025-10-30","passed","2025-10-30","TestMainPage","test_main_page","",""
"Проверяем, что при клике на вопрос отображается соответствующий ответ","1866","Проверка открытия ответа при клике на вопрос 6","tests","2025-10-30","passed","2025-10-30","TestMainPage","test_main_page","",""
"Проверяем, что при клике на вопрос отображается соответствующий ответ","1603","Проверка открытия ответа при клике на вопрос 3","tests","2025-10-30","passed","2025-10-30","TestMainPage","test_main_page","",""
"Проверяем, что при клике на вопрос отображается соответствующий ответ","1610","Проверка открытия ответа при клике на вопрос 5","tests","2025-10-30","passed","2025-10-30","TestMainPage","test_main_page","",""
"","3672","Позитивный сценарий заказа с точкой входа: bottom","tests","2025-10-30","passed","2025-10-30","TestOrderFlow","test_order_flow","",""
"Проверяем, что при клике на вопрос отображается соответствующий ответ","1699","Проверка открытия ответа при клике на вопрос 4","tests","2025-10-30","passed","2025-10-30","TestMainPage","test_main_page","",""
